predicted_risk_category,n_projects,share_projects,target_group,model_name
high_risk,11,0.022,cost,cost_overrun_pct__linear_regression
low_risk,400,0.8,cost,cost_overrun_pct__linear_regression
moderate_risk,89,0.178,cost,cost_overrun_pct__linear_regression
high_risk,9,0.018,cost,cost_overrun_pct__random_forest
low_risk,407,0.814,cost,cost_overrun_pct__random_forest
moderate_risk,84,0.168,cost,cost_overrun_pct__random_forest
high_risk,9,0.018,cost,cost_overrun_pct__xgboost
low_risk,404,0.808,cost,cost_overrun_pct__xgboost
moderate_risk,87,0.174,cost,cost_overrun_pct__xgboost
high_risk,23,0.046,schedule,schedule_overrun_pct__linear_regression
low_risk,384,0.768,schedule,schedule_overrun_pct__linear_regression
moderate_risk,93,0.186,schedule,schedule_overrun_pct__linear_regression
high_risk,17,0.034,schedule,schedule_overrun_pct__random_forest
low_risk,381,0.762,schedule,schedule_overrun_pct__random_forest
moderate_risk,102,0.204,schedule,schedule_overrun_pct__random_forest
high_risk,24,0.048,schedule,schedule_overrun_pct__xgboost
low_risk,375,0.75,schedule,schedule_overrun_pct__xgboost
moderate_risk,101,0.202,schedule,schedule_overrun_pct__xgboost
