predicted_risk_category,n_projects,share_projects,target,model
high_risk,11,0.022,cost_overrun_pct,linear_regression
low_risk,400,0.8,cost_overrun_pct,linear_regression
moderate_risk,89,0.178,cost_overrun_pct,linear_regression
high_risk,3,0.006,cost_overrun_pct,random_forest
low_risk,414,0.828,cost_overrun_pct,random_forest
moderate_risk,83,0.166,cost_overrun_pct,random_forest
high_risk,6,0.012,cost_overrun_pct,xgboost
low_risk,404,0.808,cost_overrun_pct,xgboost
moderate_risk,90,0.18,cost_overrun_pct,xgboost
high_risk,23,0.046,schedule_overrun_pct,linear_regression
low_risk,384,0.768,schedule_overrun_pct,linear_regression
moderate_risk,93,0.186,schedule_overrun_pct,linear_regression
high_risk,14,0.028,schedule_overrun_pct,random_forest
low_risk,389,0.778,schedule_overrun_pct,random_forest
moderate_risk,97,0.194,schedule_overrun_pct,random_forest
high_risk,22,0.044,schedule_overrun_pct,xgboost
low_risk,382,0.764,schedule_overrun_pct,xgboost
moderate_risk,96,0.192,schedule_overrun_pct,xgboost
